Id	Categories	Description
ENOG4111RUS	S	NA
ENOG4111RUT	S	NA
ENOG4111RUU	S	NA
ENOG4111RUV	S	kiaa1383
ENOG4111RUW	S	Tetratricopeptide repeat domain 32
ENOG4111RV1	S	NA
ENOG4111RV2	G	major Facilitator Superfamily MFS
ENOG4111RV3	S	Uncharacterized protein conserved in bacteria (DUF2325)
ENOG4111RV4	H	Photosystem II reaction center psb28 protein
ENOG4111RV5	S	Protein of unknown function (DUF1295)
ENOG4111RV8	S	Alpha beta hydrolase fold protein
ENOG4111RV9	S	FecR protein
ENOG4111RVB	V	HNH endonuclease
ENOG4111RVC	K	ECF sigma factor AdsA
ENOG4111RVD	S	NA
ENOG4111RVF	S	NA
ENOG4111RVI	S	NA
ENOG4111RVJ	S	Adenosylcobinamide amidohydrolase
ENOG4111RVK	S	NA
ENOG4111RVM	S	Tctex1 domain containing
ENOG4111RVQ	S	XRE family Transcriptional regulator
ENOG4111RVR	S	methyltransferase
ENOG4111RVT	S	Cupin 2 Conserved Barrel Domain Protein
ENOG4111RVU	S	PHP domain protein
ENOG4111RVV	S	NA
ENOG4111RVW	K	TetR family transcriptional Regulator
ENOG4111RVX	S	NA
ENOG4111RVY	S	NA
ENOG4111RVZ	S	NA
ENOG4111RW3	C	ATP synthase subunit gamma
ENOG4111RW5	S	NA
ENOG4111RW9	S	NA
ENOG4111RWA	S	FRG domain-containing protein
ENOG4111RWG	S	NA
ENOG4111RWH	S	Antirestriction protein (ArdA)
ENOG4111RWJ	S	NA
ENOG4111RWK	S	Vascular endothelial growth factor
ENOG4111RWM	S	Conserved hypothetical, protein
ENOG4111RWN	N	flagellar assembly protein FliH
ENOG4111RWP	S	Cdp-alcohol phosphatidyltransferase
ENOG4111RWQ	S	Tetratricopeptide repeat
ENOG4111RWR	S	3-carboxymuconate cyclase
ENOG4111RWT	S	Calcineurin-like phosphoesterase
ENOG4111RWU	S	NA
ENOG4111RWV	S	NA
ENOG4111RWX	S	methyltransferase type
ENOG4111RX0	U	type IV secretion system
ENOG4111RX1	S	NA
ENOG4111RX2	S	NA
ENOG4111RX3	S	NA
ENOG4111RX4	S	NA
ENOG4111RX5	S	NA
ENOG4111RX7	S	NA
ENOG4111RX9	S	NA
ENOG4111RXB	S	NA
ENOG4111RXE	S	mutt nudix family protein
ENOG4111RXF	S	NA
ENOG4111RXG	S	Pfam:Acid_phosphat_A
ENOG4111RXH	S	NA
ENOG4111RXI	S	excinuclease, ATPase subunit
ENOG4111RXJ	S	Tripartite ATP-independent periplasmic transporters, DctQ component
ENOG4111RXM	S	NA
ENOG4111RXN	S	NA
ENOG4111RXQ	S	Uncharacterised protein family, YAP/Alf4/glomulin
ENOG4111RXR	S	enoyl-CoA hydratase isomerase
ENOG4111RXT	S	NA
ENOG4111RXV	S	NA
ENOG4111RXW	K	Sigma factor
ENOG4111RXX	S	Methyltransferase domain
ENOG4111RXY	T	Histidine kinase
ENOG4111RXZ	S	selenocysteine-specific elongation factor-like
ENOG4111RY0	K	Tetr family transcriptional regulator
ENOG4111RY1	S	GCN5-related N-acetyltransferase
ENOG4111RY2	S	Ankyrin repeat protein
ENOG4111RY4	S	NA
ENOG4111RY5	S	Photosystem I reaction center subunit
ENOG4111RY8	S	Domain of unknown function DUF29
ENOG4111RY9	V	beta-lactamase related protein
ENOG4111RYB	K	GntR family transcriptional regulator
ENOG4111RYC	S	NA
ENOG4111RYD	S	NA
ENOG4111RYE	S	repeat-containing protein
ENOG4111RYF	S	ABC-type cobalt transport system, permease component
ENOG4111RYJ	S	esterase
ENOG4111RYK	S	NA
ENOG4111RYM	S	NA
ENOG4111RYN	S	KR domain
ENOG4111RYP	M	glycosyl transferase group 1
ENOG4111RYR	S	VTC domain protein
ENOG4111RYT	S	NA
ENOG4111RYX	C	NA
ENOG4111RYZ	S	Type IV secretion-system coupling protein DNA-binding domain
ENOG4111RZ0	S	pyridoxamine 5'-phosphate
ENOG4111RZ1	S	NA
ENOG4111RZ5	S	NA
ENOG4111RZ7	S	NA
ENOG4111RZ8	S	ferredoxin-fold anticodon binding domain containing 1
ENOG4111RZA	S	NA
ENOG4111RZB	T	Toxic component of a toxin-antitoxin (TA) module (By similarity)
ENOG4111RZD	S	PRC-barrel domain protein
ENOG4111RZF	G	Major facilitator superfamily, (MFS_1)
ENOG4111RZG	K	Transcriptional regulator
ENOG4111RZI	S	DNA replication terminus site-binding protein (Ter protein)
ENOG4111RZJ	S	NA
ENOG4111RZK	S	SMR domain-containing protein
ENOG4111RZM	K	TetR family transcriptional Regulator
ENOG4111RZN	S	NA
ENOG4111RZP	S	Protein of unknown function (DUF3080)
ENOG4111RZQ	S	NA
ENOG4111RZR	S	DNA polymerase beta domain protein region
ENOG4111RZV	S	Alpha Beta Hydrolase Fold protein
ENOG4111RZY	T	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
ENOG4111RZZ	S	Zinc-finger domain of monoamine-oxidase A repressor R1
ENOG4111S00	S	NA
ENOG4111S01	K	HTH_LUXR
ENOG4111S02	S	NA
ENOG4111S03	S	NA
ENOG4111S04	P	Multi-drug resistance protein
ENOG4111S05	S	Sprouty homolog
ENOG4111S08	S	Glycosyl Hydrolase Family 88
ENOG4111S09	S	YCII-related domain
ENOG4111S0A	S	tail fiber protein
ENOG4111S0B	S	NA
ENOG4111S0C	S	NA
ENOG4111S0F	S	NA
ENOG4111S0G	S	Acyltransferase
ENOG4111S0I	S	NA
ENOG4111S0J	S	NA
ENOG4111S0K	S	NA
ENOG4111S0M	S	integral membrane HPP family protein
ENOG4111S0N	S	protein conserved in bacteria
ENOG4111S0P	S	Permease YjgP YjgQ family protein
ENOG4111S0Q	U	FAD dependent oxidoreductase
ENOG4111S0U	S	NA
ENOG4111S0V	S	NA
ENOG4111S0W	S	alpha-1,2-mannosyltransferase
ENOG4111S0X	S	(LipO)protein
ENOG4111S0Z	S	NA
ENOG4111S11	S	NA
ENOG4111S13	S	FecR protein
ENOG4111S17	S	(ribosomal) protein
ENOG4111S18	S	NA
ENOG4111S19	S	NA
ENOG4111S1C	S	Predicted membrane protein (DUF2142)
ENOG4111S1D	S	Pfam:DUF3036
ENOG4111S1E	S	NA
ENOG4111S1I	S	NA
ENOG4111S1K	S	NA
ENOG4111S1P	S	Clp protease
ENOG4111S1Q	C	4Fe-4S binding domain
ENOG4111S1S	S	NA
ENOG4111S1T	S	NA
ENOG4111S1V	S	NA
ENOG4111S1W	S	NA
ENOG4111S1X	S	protein binding zinc ion binding
ENOG4111S1Y	S	NA
ENOG4111S1Z	S	glyoxalase bleomycin resistance protein dioxygenase
ENOG4111S20	S	NA
ENOG4111S21	S	NA
ENOG4111S22	U	TLC
ENOG4111S23	S	NA
ENOG4111S24	S	Receptor family ligand binding region
ENOG4111S25	S	NA
ENOG4111S27	S	Protein of unknown function (DUF2937)
ENOG4111S28	S	NA
ENOG4111S29	S	NA
ENOG4111S2B	S	ATPase with chaperone activity ATP-binding subunit
ENOG4111S2C	S	NA
ENOG4111S2D	S	NA
ENOG4111S2E	S	NA
ENOG4111S2F	I	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
ENOG4111S2G	S	NA
ENOG4111S2H	S	NA
ENOG4111S2I	S	NA
ENOG4111S2J	S	Aminotransferase class I and II
ENOG4111S2K	S	NA
ENOG4111S2M	S	NA
ENOG4111S2N	S	NA
ENOG4111S2R	S	NA
ENOG4111S2S	S	NA
ENOG4111S2T	S	NA
ENOG4111S2U	K	RNA polymerase sigma-24 subunit, ECF subfamily
ENOG4111S2V	S	LRR
ENOG4111S2X	S	Zeta toxin
ENOG4111S2Y	S	Protein of unknown function (DUF2786)
ENOG4111S32	S	NA
ENOG4111S33	S	Methyl-accepting chemotaxis
ENOG4111S35	S	Plant-specific domain TIGR01615 family protein
ENOG4111S36	S	Resuscitation-promoting factor rpfA
ENOG4111S39	S	NA
ENOG4111S3A	S	Protein of unknown function (DUF3485)
ENOG4111S3B	S	NA
ENOG4111S3D	K	RNA polymerase sigma-24 subunit, ECF subfamily
ENOG4111S3F	I	Phosphoesterase, PA-phosphatase related
ENOG4111S3I	S	NA
ENOG4111S3J	S	NA
ENOG4111S3K	S	NA
ENOG4111S3M	K	growth-regulating factor
ENOG4111S3N	S	Pfam:Transposase_17
ENOG4111S3Q	S	NA
ENOG4111S3R	T	Response Regulator
ENOG4111S3T	S	NA
ENOG4111S3U	C	cytochrome C family protein
ENOG4111S3W	S	Membrane
ENOG4111S3X	S	zinc ion binding
ENOG4111S3Y	S	Protein of unknown function (DUF1579)
ENOG4111S3Z	S	NA
ENOG4111S42	S	host cell surface-exposed lipoprotein
ENOG4111S43	L	Replication protein C C-terminal region
ENOG4111S44	O	dnaJ domain-containing protein
ENOG4111S45	S	Membrane
ENOG4111S46	U	NA
ENOG4111S4A	S	NA
ENOG4111S4B	K	sequence-specific DNA binding
ENOG4111S4C	S	NA
ENOG4111S4D	S	sigma 54 modulation protein ribosomal protein S30ea
ENOG4111S4E	S	NA
ENOG4111S4F	S	NA
ENOG4111S4I	S	NA
ENOG4111S4K	S	NA
ENOG4111S4Q	S	Pfam:DUF571
ENOG4111S4R	S	NA
ENOG4111S4S	S	Cyclase dehydrase
ENOG4111S4T	K	Divergent AAA domain
ENOG4111S4U	S	NA
ENOG4111S4V	S	endonuclease exonuclease phosphatase
ENOG4111S4W	S	Protein of unknown function (DUF2868)
ENOG4111S4X	T	FHA
ENOG4111S4Y	S	NA
ENOG4111S4Z	S	NA
ENOG4111S51	K	Transcription factor
ENOG4111S52	S	Mannose-6-phosphate isomerase
ENOG4111S53	S	NA
ENOG4111S54	S	carboxyl-terminal peptidase
ENOG4111S55	S	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
ENOG4111S56	S	D-ornithine aminomutase S component
ENOG4111S57	S	NA
ENOG4111S58	S	leucine Rich Repeat
ENOG4111S5B	S	NA
ENOG4111S5E	S	Toxic component of a toxin-antitoxin (TA) module. A
ENOG4111S5F	S	NA
ENOG4111S5G	S	NA
ENOG4111S5I	S	NA
ENOG4111S5J	S	NA
ENOG4111S5K	S	NA
ENOG4111S5M	K	Tetr family transcriptional regulator
ENOG4111S5P	S	NA
ENOG4111S5Q	S	FdxN element excision controlling factor protein
ENOG4111S5S	S	phytanoyl-CoA dioxygenase
ENOG4111S5U	M	Glycosyl hydrolases family 28
ENOG4111S5V	S	NA
ENOG4111S5W	S	NA
ENOG4111S5Y	S	NA
ENOG4111S5Z	S	NA
ENOG4111S60	S	Domain of unknown function DUF20
ENOG4111S61	S	NA
ENOG4111S64	S	NA
ENOG4111S67	S	NA
ENOG4111S68	S	NA
ENOG4111S6A	T	response regulator (Receiver
ENOG4111S6B	S	Protein of unknown function (DUF2623)
ENOG4111S6D	S	NA
ENOG4111S6E	S	host-nuclease inhibitor protein
ENOG4111S6F	S	signal transduction protein with EFhand domain
ENOG4111S6G	S	NA
ENOG4111S6I	O	prefoldin subunit 2
ENOG4111S6J	S	NA
ENOG4111S6K	S	domain protein
ENOG4111S6N	S	Protein of unknown function (DUF664)
ENOG4111S6P	S	receptor
ENOG4111S6Q	S	NA
ENOG4111S6R	S	NA
ENOG4111S6S	S	RES domain-containing protein
ENOG4111S6T	U	CD44 molecule (Indian blood group)
ENOG4111S6U	S	KR domain
ENOG4111S6Z	J	Ribosomal L28e protein family
ENOG4111S70	S	Melanoma antigen, family
ENOG4111S72	S	NA
ENOG4111S73	L	Phage integrase
ENOG4111S74	K	Transcriptional regulator
ENOG4111S75	S	cache type 2
ENOG4111S76	S	Conserved hypothetical, protein
ENOG4111S77	S	Vitamin B12 dependent methionine synthase
ENOG4111S7A	S	NA
ENOG4111S7D	O	NA
ENOG4111S7E	B	capicua homolog (Drosophila)
ENOG4111S7F	S	LIM domain containing 2
ENOG4111S7G	G	Major facilitator superfamily MFS_1
ENOG4111S7I	S	Protein of unknown function (DUF1573)
ENOG4111S7J	S	NA
ENOG4111S7M	U	Type II secretion system protein G
ENOG4111S7Q	L	transposase
ENOG4111S7R	G	peroxidase
ENOG4111S7S	K	Transcriptional regulator, TetR family
ENOG4111S7T	S	NA
ENOG4111S7U	S	NA
ENOG4111S7V	U	homolog subfamily C member
ENOG4111S7X	S	Acyltransferase
ENOG4111S7Y	S	FIST C domain
ENOG4111S81	S	dinb family
ENOG4111S82	S	ribosomal protein S6
ENOG4111S84	S	NA
ENOG4111S85	S	Lipoprotein lpqB
ENOG4111S86	S	thioesterase Superfamily protein
ENOG4111S87	S	MORN repeat variant
ENOG4111S88	S	Pfam:DUF540
ENOG4111S89	S	NA
ENOG4111S8C	S	NA
ENOG4111S8E	S	NA
ENOG4111S8F	S	Protein of unknown function (DUF1571)
ENOG4111S8G	S	NA
ENOG4111S8I	S	Phage tail tape measure protein
ENOG4111S8J	S	NA
ENOG4111S8K	S	Ion transport protein
ENOG4111S8M	S	NA
ENOG4111S8N	S	periplasmic binding protein
ENOG4111S8S	S	whole genome shotgun sequence
ENOG4111S8T	T	HTH_ARAC
ENOG4111S8U	S	Tripartite ATP-independent periplasmic transporters, DctQ component
ENOG4111S8V	S	Pyrogenic exotoxin B
ENOG4111S8W	S	NA
ENOG4111S8X	K	Transcriptional regulator
ENOG4111S8Y	P	C4-dicarboxylate transporter malic acid transport protein
ENOG4111S8Z	S	NA
ENOG4111S90	S	NA
ENOG4111S92	S	NA
ENOG4111S95	T	FHA
ENOG4111S96	S	oxidoreductase Domain protein
ENOG4111S97	S	NA
ENOG4111S99	S	NA
ENOG4111S9A	S	NA
ENOG4111S9E	M	Capsule polysaccharide biosynthesis protein
ENOG4111S9F	S	NA
ENOG4111S9H	S	NA
ENOG4111S9I	S	Domain of Unknown Function (DUF1080)
ENOG4111S9J	S	PEST proteolytic signal containing nuclear protein
ENOG4111S9K	L	NAD-dependent DNA ligase
ENOG4111S9Q	S	Prefoldin, subunit
ENOG4111S9R	S	NA
ENOG4111S9S	S	Methyltransferase
ENOG4111S9T	M	glycosyl transferase group 1
ENOG4111S9V	S	NA
ENOG4111S9W	S	Hemoglobin
ENOG4111S9Z	F	DNA/RNA non-specific endonuclease
ENOG4111SA0	S	NA
ENOG4111SA1	K	B3 domain-containing protein
ENOG4111SA2	S	NA
ENOG4111SA3	O	Pyridine nucleotide-disulphide oxidoreductase
ENOG4111SA4	M	NA
ENOG4111SA5	L	Pfam:Transposase_8
ENOG4111SA6	T	phosphohistidine phosphatase 1
ENOG4111SA8	S	chromosome 7 open reading frame 55
ENOG4111SA9	M	Glycosyl transferase (Group 1
ENOG4111SAA	C	cytochrome c
ENOG4111SAB	K	NA
ENOG4111SAD	S	Autotransporter beta-domain
ENOG4111SAE	S	sterol binding
ENOG4111SAH	S	Membrane
ENOG4111SAI	S	NA
ENOG4111SAJ	K	transcriptional regulator, XRE family
ENOG4111SAK	S	NA
ENOG4111SAM	S	NA
ENOG4111SAN	S	MxaA protein
ENOG4111SAP	S	s-layer protein
ENOG4111SAT	S	(Lipo)protein
ENOG4111SAU	S	Polyketide cyclase / dehydrase and lipid transport
ENOG4111SAV	S	ABC transport system, permease protein
ENOG4111SAW	S	SnoaL-like polyketide cyclase
ENOG4111SAY	I	alpha/beta hydrolase fold
ENOG4111SAZ	S	NA
ENOG4111SB0	S	NA
ENOG4111SB2	G	Pyruvate phosphate dikinase PEP
ENOG4111SB4	S	NA
ENOG4111SB5	S	NA
ENOG4111SB6	S	Glutathione-dependent formaldehyde-activating GFA
ENOG4111SB7	S	NA
ENOG4111SBA	S	Pentapeptide repeats (8 copies)
ENOG4111SBB	S	NA
ENOG4111SBC	S	NA
ENOG4111SBE	T	Response regulator receiver domain protein
ENOG4111SBG	S	methyl-accepting chemotaxis protein
ENOG4111SBI	S	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)
ENOG4111SBK	S	NA
ENOG4111SBM	S	glyoxalase family
ENOG4111SBP	G	Photosystem II
ENOG4111SBR	T	Response regulator receiver sensor signal transduction histidine kinase
ENOG4111SBS	S	NADH-ubiquinone oxidoreductase 12 kda subunit
ENOG4111SBT	S	NA
ENOG4111SBV	L	NA
ENOG4111SBY	K	transcriptional regulator, araC family
ENOG4111SC1	S	NA
ENOG4111SC2	F	Chromosome 6 open reading frame 108
ENOG4111SC3	S	thylakoid lumenal 17.4 kDa protein
ENOG4111SC7	C	Cytochrome D1 heme domain
ENOG4111SCA	S	NA
ENOG4111SCC	S	Chromosome 9 open reading frame 85
ENOG4111SCD	S	NA
ENOG4111SCE	S	GCN5-related N-acetyltransferase
ENOG4111SCF	S	Cold acclimation protein
ENOG4111SCG	S	ABC-2 type transporter
ENOG4111SCJ	K	Transcriptional regulator (AraC family)
ENOG4111SCK	S	O-Antigen ligase
ENOG4111SCN	S	NA
ENOG4111SCP	S	NA
ENOG4111SCS	S	NA
ENOG4111SCT	S	NA
ENOG4111SCU	T	anti-sigma factor
ENOG4111SCW	S	repeat-containing protein
ENOG4111SCX	S	Protein of unknown function (DUF2384)
ENOG4111SCY	S	SNARE associated Golgi protein
ENOG4111SCZ	S	NA
ENOG4111SD0	S	VIT family
ENOG4111SD1	M	glycosyl transferase group 1
ENOG4111SD2	S	LIM domain
ENOG4111SD3	U	Biopolymer transport protein ExbD TolR
ENOG4111SD4	S	Domain of unknown function (DUF1905)
ENOG4111SD5	S	NA
ENOG4111SD6	S	phospholipid binding
ENOG4111SD7	S	NA
ENOG4111SD8	S	NA
ENOG4111SD9	S	lanthionine synthetase
ENOG4111SDB	S	NA
ENOG4111SDC	S	NA
ENOG4111SDD	S	NA
ENOG4111SDE	S	Membrane
ENOG4111SDF	S	NA
ENOG4111SDH	S	Methyltransferase, type
ENOG4111SDI	S	tpr domain protein
ENOG4111SDK	S	Fasciclin domain
ENOG4111SDN	K	nuclear receptor binding factor 2
ENOG4111SDP	S	Protein of unknown function (DUF2889)
ENOG4111SDQ	U	General secretion pathway protein J
ENOG4111SDT	S	peptidase C10
ENOG4111SDU	S	Ion channel
ENOG4111SDV	M	outer membrane protein B
ENOG4111SDX	S	NA
ENOG4111SDY	S	Domain of unknown function (DUF1887)
ENOG4111SE0	O	Glutathione S-transferase family protein
ENOG4111SE1	S	PRTRC system ThiF family protein
ENOG4111SE2	K	LysR family (Transcriptional regulator
ENOG4111SE3	L	transposase
ENOG4111SE4	S	Acyl-CoA dehydrogenase, N-terminal domain
ENOG4111SE5	S	NA
ENOG4111SE6	S	NA
ENOG4111SE7	K	AraC family transcriptional regulator
ENOG4111SE9	S	NA
ENOG4111SEA	K	Transcriptional regulator, XRE family
ENOG4111SEF	S	NA
ENOG4111SEI	S	Protein of unknown function (DUF1664)
ENOG4111SEJ	S	NA
ENOG4111SEK	S	NA
ENOG4111SEP	S	NA
ENOG4111SEQ	S	VanZ domain protein
ENOG4111SER	S	Uncharacterised protein family (UPF0104)
ENOG4111SES	S	NA
ENOG4111SET	S	BON domain
ENOG4111SEU	S	Protein of unknown function (DUF3419)
ENOG4111SEV	S	NA
ENOG4111SEX	T	transduction Histidine kinase
ENOG4111SEY	S	NA
ENOG4111SF1	S	HPP family
ENOG4111SF2	S	NA
ENOG4111SF5	S	Domain of unknown function (DUF1963)
ENOG4111SF6	S	NA
ENOG4111SF9	S	S-adenosylmethionine decarboxylase 
ENOG4111SFA	L	transposase
ENOG4111SFD	S	NA
ENOG4111SFE	S	NA
ENOG4111SFF	K	Tetr family transcriptional regulator
ENOG4111SFG	S	NA
ENOG4111SFH	S	NA
ENOG4111SFI	S	NA
ENOG4111SFK	Q	carboxymuconolactone decarboxylase
ENOG4111SFM	U	Non-classical export protein
ENOG4111SFN	S	acetyltransferase, (GNAT) family
ENOG4111SFP	S	methyltransferase, type 11
ENOG4111SFQ	S	NA
ENOG4111SFR	S	Pfam:DUF820
ENOG4111SFS	S	NA
ENOG4111SFT	S	NA
ENOG4111SFU	S	NA
ENOG4111SFW	S	NA
ENOG4111SFX	S	Methyltransferase, type
ENOG4111SFY	U	protein transport membrane glycoprotein Sec20
ENOG4111SFZ	S	NA
ENOG4111SG0	S	Transmembrane protein 186
ENOG4111SG1	S	Uncharacterised protein family (UPF0104)
ENOG4111SG2	S	NA
ENOG4111SG3	S	PBS lyase HEAT domain protein repeat-containing protein
ENOG4111SG4	O	Wnt receptor signaling pathway
ENOG4111SG6	S	NA
ENOG4111SG7	S	Protein of unknown function (DUF616)
ENOG4111SG8	S	Pyrimidine dimer DNA glycosylase
ENOG4111SGB	S	NA
ENOG4111SGC	S	Haloacid dehalogenase domain protein hydrolase
ENOG4111SGD	S	transmembrane protein 203
ENOG4111SGE	S	NA
ENOG4111SGG	S	NA
ENOG4111SGH	S	NA
ENOG4111SGI	S	NA
ENOG4111SGJ	S	alpha beta hydrolase fold
ENOG4111SGK	S	repeat-containing protein
ENOG4111SGM	S	Protein of unknown function (DUF3667)
ENOG4111SGN	L	transposase
ENOG4111SGT	S	NA
ENOG4111SGU	S	NA
ENOG4111SGV	S	Protein of unknown function (DUF3348)
ENOG4111SGX	S	phycobilisome
ENOG4111SGY	S	WW domain-containing protein
ENOG4111SH0	S	NA
ENOG4111SH2	K	XRE family Transcriptional regulator
ENOG4111SH3	S	Protein of unknown function DUF86
ENOG4111SH5	S	Binding-protein-dependent transport system inner membrane component
ENOG4111SH6	S	NA
ENOG4111SH8	S	NA
ENOG4111SH9	S	NA
ENOG4111SHA	T	Histidine kinase
ENOG4111SHB	S	)-reductase
ENOG4111SHC	S	NA
ENOG4111SHD	S	NA
ENOG4111SHF	S	chromosome X open reading frame 26
ENOG4111SHG	S	Uncharacterized conserved protein (DUF2156)
ENOG4111SHJ	S	(LipO)protein
ENOG4111SHK	S	haD-superfamily hydrolase, subfamily ia, variant 2
ENOG4111SHM	S	Chemotaxis protein CheW
ENOG4111SHN	S	MYND domain protein
ENOG4111SHQ	S	membrane-associated oxidoreductase
ENOG4111SHU	S	NA
ENOG4111SHV	S	NA
ENOG4111SHX	S	NA
ENOG4111SHZ	M	ompA MotB domain-containing protein
ENOG4111SI1	S	NA
ENOG4111SI3	S	methyltransferase
ENOG4111SI4	S	NA
ENOG4111SI5	S	Endoplasmic reticulum-based factor for assembly of V-ATPase
ENOG4111SI6	S	Sulfite exporter TauE/SafE
ENOG4111SI8	S	NA
ENOG4111SIA	T	Universal stress protein family
ENOG4111SID	S	Protein of unknown function (DUF1559)
ENOG4111SIE	S	adventurous gliding motility protein AglU
ENOG4111SIF	S	NA
ENOG4111SIG	S	NA
ENOG4111SIH	K	transcriptional regulator, lysr family
ENOG4111SII	S	chromosome 12 open reading frame 57
ENOG4111SIJ	S	NA
ENOG4111SIK	S	Lipid A 3-O-deacylase (PagL)
ENOG4111SIM	S	CheA signal transduction histidine kinase
ENOG4111SIQ	S	biopolymer transport protein, ExbB family
ENOG4111SIR	S	Short-chain dehydrogenase reductase Sdr
ENOG4111SIS	S	NA
ENOG4111SIT	S	NA
ENOG4111SIU	S	mosc domain containing protein
ENOG4111SIV	S	Superoxide dismutase
ENOG4111SIW	S	NA
ENOG4111SIX	L	Transposase
ENOG4111SIY	S	NA
ENOG4111SIZ	S	Domain of unknown function (DUF955)
ENOG4111SJ0	S	NA
ENOG4111SJ1	S	NA
ENOG4111SJ2	S	NA
ENOG4111SJ3	S	NA
ENOG4111SJ4	T	Response Regulator
ENOG4111SJ6	S	NA
ENOG4111SJ7	J	mitochondrial RNA
ENOG4111SJ8	S	NA
ENOG4111SJ9	S	conserved domain protein
ENOG4111SJB	P	tellurite resistance protein
ENOG4111SJC	S	NA
ENOG4111SJF	S	(Anaerobic) ribonucleoside-triphosphate reductase activating protein
ENOG4111SJG	S	YCII-related domain
ENOG4111SJJ	S	NA
ENOG4111SJK	S	NA
ENOG4111SJM	S	PRC-barrel domain
ENOG4111SJP	S	glyoxalase bleomycin resistance protein dioxygenase
ENOG4111SJQ	S	NA
ENOG4111SJS	S	NA
ENOG4111SJU	S	NA
ENOG4111SJW	S	BTB/POZ domain
ENOG4111SJY	S	Zonular occludens toxin (Zot)
ENOG4111SJZ	S	acyltransferase 3
ENOG4111SK0	T	cyclic nucleotide-binding
ENOG4111SK1	S	Rhodanese domain protein
ENOG4111SK2	G	(ABC) transporter
ENOG4111SK3	S	NA
ENOG4111SK4	S	NA
ENOG4111SK6	S	NA
ENOG4111SK7	K	Transcription factor
ENOG4111SK8	S	Antibiotic biosynthesis monooxygenase
ENOG4111SKA	S	Collagen and calcium binding EGF domains 1
ENOG4111SKB	S	NA
ENOG4111SKD	S	NA
ENOG4111SKE	S	NA
ENOG4111SKI	S	NA
ENOG4111SKK	S	NA
ENOG4111SKM	S	Domain of unknown function (DUF1832)
ENOG4111SKN	S	WW domain binding protein 4
ENOG4111SKP	S	NA
ENOG4111SKQ	S	Alpha beta hydrolase fold protein
ENOG4111SKR	S	NA
ENOG4111SKS	S	NA
ENOG4111SKT	S	NA
ENOG4111SKU	S	WGR domain
ENOG4111SKV	S	Paraquat-inducible protein A
ENOG4111SKW	S	NA
ENOG4111SKX	S	SpoVG family
ENOG4111SKY	S	Divergent AAA domain
ENOG4111SM0	T	protein with cbs domains
ENOG4111SM1	T	transcriptional regulator, crp fnr family
ENOG4111SM3	S	NA
ENOG4111SM4	S	Pfam:UPF0157
ENOG4111SM5	S	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
ENOG4111SM6	S	NA
ENOG4111SM7	S	NA
ENOG4111SM9	S	Pfam:DUF419
ENOG4111SMA	S	Domain of unknown function DUF29
ENOG4111SMB	S	Methyltransferase domain
ENOG4111SMC	S	NA
ENOG4111SMD	P	copper resistance
ENOG4111SME	S	NA
ENOG4111SMF	S	methyltransferase-like protein 13-like
ENOG4111SMG	K	Sigma-70 region 2 
ENOG4111SMH	S	NA
ENOG4111SMI	S	NA
ENOG4111SMJ	T	Histidine kinase
ENOG4111SMK	S	s23 ribosomal protein
ENOG4111SMN	K	Tetr family transcriptional regulator
ENOG4111SMP	M	spore coat polysaccharide biosynthesis protein
ENOG4111SMR	S	O-Antigen Polymerase
ENOG4111SMS	K	RNA Polymerase
ENOG4111SMT	C	Inorganic pyrophosphatase
ENOG4111SMV	S	NlpC/P60 family
ENOG4111SN1	S	Domain of unknown function (DUF1823)
ENOG4111SN2	S	Acyltransferase
ENOG4111SN3	N	Flagellin domain-containing protein
ENOG4111SN4	S	glyoxalase bleomycin resistance protein dioxygenase
ENOG4111SN6	S	acetyltransferase, (GNAT) family
ENOG4111SN7	S	NA
ENOG4111SN8	E	NA
ENOG4111SN9	S	NA
ENOG4111SNB	S	Short-chain dehydrogenase reductase Sdr
ENOG4111SND	S	Pfam:DUF1821
ENOG4111SNE	S	NA
ENOG4111SNG	S	NA
ENOG4111SNH	S	NA
ENOG4111SNI	S	NA
ENOG4111SNR	S	WD domain, G-beta repeat
ENOG4111SNT	S	NA
ENOG4111SNV	S	NA
ENOG4111SNW	S	NA
ENOG4111SNY	S	NA
ENOG4111SP1	S	Putative transcription regulator (DUF1323)
ENOG4111SP3	M	pdz dhr glgf domain protein
ENOG4111SP4	S	NA
ENOG4111SP6	T	Histidine kinase
ENOG4111SP7	E	ABC transporter substrate-binding protein
ENOG4111SP8	S	Reverse transcriptase (RNA-dependent DNA polymerase)
ENOG4111SP9	S	NA
ENOG4111SPA	Z	HAUS augmin-like complex, subunit 1
ENOG4111SPB	S	transposon protein
ENOG4111SPC	S	NA
ENOG4111SPD	O	RING finger protein 223
ENOG4111SPE	S	KR domain
ENOG4111SPF	S	NA
ENOG4111SPI	S	NA
ENOG4111SPN	S	NA
ENOG4111SPQ	S	NA
ENOG4111SPR	S	Domain of unknown function DUF29
